,Возраст ,2021г,2022г
0,Всего,2131136,2211472
1,до 1 года,33708,31419
2,От 1 до 2 лет,75176,78465
3,От 3 до 4 лет,77153,78061
4,5 лет,39043,38823
5,От 6 до 9 лет,146244,152307
6,От 10 до 14 лет,160700,168281
7,От 15 до 19 лет,160262,184900
8,От 20 до 24 лет,172605,179187
9,От 25 до 29 лет,167615,164358
10,От 30 до 34 лет,186417,185318
11,От 35 до 39 лет,167605,177550
12,От 40 до 44 лет,137845,143300
13,От 45 до 49 лет,122085,125775
14,От 50 до 54 лет,106268,110835
15,От 55 до 59 лет,98827,98730
16,От 60 до 64 лет,93460,97104
17,От 65 до 69 лет,70941,74400
18,От 70 до 74 лет,54013,56609
19,От 75 до 79 лет,21937,26335
20,От 80 до 84 лет,24393,22792
21,От 85 до 89 лет,9473,11351
22,От 90 до 94 лет,3968,3894
23,Старше 95 лет,1398,1678
24,Возраст не уточняется,0,0
