,Year,Age,Count
1,2021г,до 1 года,33708
2,2021г,От 1 до 2 лет,75176
3,2021г,От 3 до 4 лет,77153
4,2021г,5 лет,39043
5,2021г,От 6 до 9 лет,146244
6,2021г,От 10 до 14 лет,160700
7,2021г,От 15 до 19 лет,160262
8,2021г,От 20 до 24 лет,172605
9,2021г,От 25 до 29 лет,167615
10,2021г,От 30 до 34 лет,186417
11,2021г,От 35 до 39 лет,167605
12,2021г,От 40 до 44 лет,137845
13,2021г,От 45 до 49 лет,122085
14,2021г,От 50 до 54 лет,106268
15,2021г,От 55 до 59 лет,98827
16,2021г,От 60 до 64 лет,93460
17,2021г,От 65 до 69 лет,70941
18,2021г,От 70 до 74 лет,54013
19,2021г,От 75 до 79 лет,21937
20,2021г,От 80 до 84 лет,24393
21,2021г,От 85 до 89 лет,9473
22,2021г,От 90 до 94 лет,3968
23,2021г,Старше 95 лет,1398
25,2022г,до 1 года,31419
26,2022г,От 1 до 2 лет,78465
27,2022г,От 3 до 4 лет,78061
28,2022г,5 лет,38823
29,2022г,От 6 до 9 лет,152307
30,2022г,От 10 до 14 лет,168281
31,2022г,От 15 до 19 лет,184900
32,2022г,От 20 до 24 лет,179187
33,2022г,От 25 до 29 лет,164358
34,2022г,От 30 до 34 лет,185318
35,2022г,От 35 до 39 лет,177550
36,2022г,От 40 до 44 лет,143300
37,2022г,От 45 до 49 лет,125775
38,2022г,От 50 до 54 лет,110835
39,2022г,От 55 до 59 лет,98730
40,2022г,От 60 до 64 лет,97104
41,2022г,От 65 до 69 лет,74400
42,2022г,От 70 до 74 лет,56609
43,2022г,От 75 до 79 лет,26335
44,2022г,От 80 до 84 лет,22792
45,2022г,От 85 до 89 лет,11351
46,2022г,От 90 до 94 лет,3894
47,2022г,Старше 95 лет,1678
