GR,F1,SUMM
Всего,"A15-A19, B90, J65",159
Всего,All,20560
Всего,B20-B24,104
Всего,C00-C14,169
Всего,C15,108
Всего,C16,453
Всего,C18-C21,522
Всего,C22,258
Всего,C33-C34,723
Всего,C50,394
Всего,C53,225
Всего,"C91.0, C91.1",107
Всего,E10-E14,1254
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",534
Всего,"G40,G41",114
Всего,"I10-I13, I15",701
Всего,I20-I25,5182
Всего,"I26, I80, I82.9",236
Всего,I60-I69,2977
Всего,I71,121
Всего,J09-J11,149
Всего,"J12, J15, J16- J18",1087
Всего,J40-J44,1202
Всего,K25-K28,210
Всего,"K73, K74.0-K74.2, K74.6",1296
Всего,"K85.0,1,3,8,9",118
Всего,N17-N19,570
Всего,P00-P96,243
Всего,Q20-Q28,202
Всего,U07.1 - U07.2 (COVID-19),347
Мужчины,"A15-A19, B90, J65",102
Мужчины,All,12587
Мужчины,C00-C14,127
Мужчины,C16,239
Мужчины,C18-C21,279
Мужчины,C22,173
Мужчины,C33-C34,525
Мужчины,E10-E14,598
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",423
Мужчины,"I10-I13, I15",404
Мужчины,I20-I25,3649
Мужчины,"I26, I80, I82.9",145
Мужчины,I60-I69,1791
Мужчины,"J12, J15, J16- J18",660
Мужчины,J40-J44,792
Мужчины,K25-K28,131
Мужчины,"K73, K74.0-K74.2, K74.6",891
Мужчины,N17-N19,270
Мужчины,P00-P96,116
Мужчины,U07.1 - U07.2 (COVID-19),201
Женщины,All,7972
Женщины,C16,212
Женщины,C18-C21,243
Женщины,C33-C34,199
Женщины,C50,391
Женщины,C53,225
Женщины,E10-E14,658
Женщины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",111
Женщины,"I10-I13, I15",299
Женщины,I20-I25,1533
Женщины,I60-I69,1187
Женщины,"J12, J15, J16- J18",431
Женщины,J40-J44,410
Женщины,"K73, K74.0-K74.2, K74.6",403
Женщины,N17-N19,302
Женщины,P00-P96,127
Женщины,Q20-Q28,105
Женщины,U07.1 - U07.2 (COVID-19),145
